name,snid_z,snid_z_std
2004ha,0.5033,0.0098
PTF11rpc,0.1445,0.0058
iPTF15bvw,0.155,0.0026
PTF12ast,0.1585,0.0056
2016hjk,0.0873,0.0045
CSS140628-233025+060302,0.0605,0.0065
PTF11atu,0.083,0.0055
2020adgf,0.0576,0.0024
CSS130307-134411+030344,0.0801,0.0046
PTF10pvi,0.0794,0.0031
1996bo,0.0148,0.0069
SNLS-06D4dh,0.307,0.0027
1998de,0.0223,0.0089
PTF10gnr,0.1004,0.0041
PTF11aad,0.1082,0.0062
PTF10qrj,0.1389,0.0051
2021wwl,0.0545,0.0057
2007tv,0.3112,0.0077
PTF10fxe,0.0901,0.003
PTF10bhw,0.1094,0.0025
PTF11cus,0.1979,0.0028
PS15ctw,0.0855,0.0027
CSS131225-052305-080228,0.0489,0.0038
2000A,0.0323,0.0021
PTF09ri,0.0834,0.0061
SNLS-08D2gw,0.7153,0.0082
PTF10czc,0.1082,0.0037
iPTF15aiq,0.1579,0.0039
SNF20080720-001,0.0181,0.0034
2006D,0.0096,0.0032
PTF10qna,0.0953,0.0036
2007pu,0.0957,0.0064
2022xgl,0.0232,0.002
2006bd,0.0026,0.0062
PTF10abwz,0.2071,0.0031
2006sr,0.0226,0.003
PTF12bod,0.0954,0.0067
PTF10uzi,0.1102,0.0029
2009bi,0.13,0.0059
2022sdb,0.0206,0.0024
iPTF13dge,0.0132,0.0071
PTF10rka,0.0731,0.0065
iPTF13dfs,0.1863,0.0024
iPTF15cvp,0.1237,0.0043
LSQ12ggq,0.1201,0.0042
2006ke,0.0195,0.0022
iPTF13adg,0.13,0.0111
LSQ13dhy,0.1956,0.0052
2019bky,0.0615,0.0043
LSQ15cs,0.1131,0.0042
PTF12ilb,0.077,0.0037
PTF10fk,0.1839,0.0034
2002ey,0.0428,0.0055
2000cf,0.047,0.0053
2006gt,0.0357,0.0214
PTF10acqp,0.1668,0.0
PTF11ivb,0.0636,0.0022
2005hk,0.244,0.148
2006dd,-0.0006,0.0012
PTF11mzs,0.1558,0.0016
ASASSN-15np,0.0419,0.0031
2003bf,0.0303,0.0034
PS15mb,0.0284,0.0021
PTF12ixq,0.13,0.0052
iPTF15dab,0.1519,0.0022
PTF10qky,0.0762,0.0066
ASASSN-15db,0.0138,0.0038
SNLS-03D1au,0.5049,0.0074
1999ce,0.0713,0.0029
2021abab,0.0708,0.001
ASASSN-14kd,0.1741,0.0105
iPTF15ht,0.1977,0.0049
OGLE-2014-SN-010,0.0836,0.0052
PTF09dlc,0.0677,0.0044
2004he,0.5946,0.005
2004ca,0.0141,0.0041
LSQ14fml,0.0787,0.0056
SNLS-05D1er,0.8642,0.003
PTF10zbf,0.1391,0.0064
iPTF13adm,0.1258,0.0078
iPTF13alf,0.0318,0.0038
LSQ13dca,0.1173,0.0068
PTF12gqk,0.1897,0.0043
PTF09isn,0.1039,0.0051
LSQ13ds,0.108,0.0019
PTF09dyg,0.1286,0.0045
2006qg,0.2196,0.0086
iPTF15ckb,0.0471,0.0068
PTF09hvs,0.1304,0.0042
2007uj,0.3044,0.0056
LSQ13bud,0.1148,0.0064
2005ke,0.0094,0.0065
2022vtq,0.0277,0.0016
2007ji,0.1857,0.0032
2006kb,0.1375,0.0045
2005di,0.0279,0.0029
2006N,0.0164,0.0045
OGLE15rc,0.0741,0.0049
2007jg,0.0007,0.0063
CSS140305-104323+013442,0.1109,0.0029
2020vfi,0.0705,0.0039
2007rx,0.0389,0.0038
2003kh,0.0379,0.0043
PTF11yp,0.133,0.0067
PTF10gxt,0.1743,0.0043
OGLE15rw,0.0761,0.0039
PTF10ops,0.0595,0.0027
SNLS-06D1dl,0.5162,0.0059
2007ci,0.0169,0.0046
PTF10hmc,0.0767,0.0051
PTF11v,0.0371,0.0032
PTF12mj,0.081,0.0065
LSQ14ae,0.1156,0.0056
ASASSN-14hr,0.0319,0.0032
2007tl,0.3746,0.005
PTF09awt,0.1876,0.0059
LSQ13bir,0.107,0.0038
OGLE-2015-SN-051,0.063,0.006
PTF10hej,0.1259,0.0038
PS15sv,0.032,0.003
PTF12exf,0.1336,0.0076
ASASSN-14hu,0.0221,0.0045
PTF12juu,0.0965,0.007
PTF10oir,0.1465,0.0071
PTF10zdk,0.0354,0.0037
PTF10pcc,0.19,0.0058
1998bn,0.005,0.0027
PTF12lih,0.0415,0.0047
iPTF15adu,0.1561,0.008
iPTF14ibp,0.0915,0.0043
LSQ14bcr,0.076,0.0054
LSQ13btl,0.1456,0.0058
2022aagc,0.0873,0.0017
PTF11klp,0.18,0.0066
2003le,0.5565,0.0033
SDSS-SN-063,0.0812,0.0044
PTF10jvy,0.1991,0.0021
2007jz,0.2251,0.0063
PTF09fov,0.0557,0.0042
2007qi,0.2899,0.0051
PTF10pcr,0.1902,0.0041
OGLE-2014-SN-135,0.0694,0.0037
LSQ14xi,0.05,0.0041
1994T,0.0363,0.0051
PTF11lms,0.1106,0.0041
LSQ12hnr,-0.0064,0.0018
2022ybv,0.0983,0.0036
iPTF15cpg,0.0809,0.0026
PTF10cza,0.1385,0.0044
2002de,0.0274,0.0045
SMT16alz,0.0718,0.0055
PTF11phm,0.1771,0.0044
1999U,0.5132,0.0073
iPTF13dfa,0.0674,0.002
LSQ12dwf,0.1211,0.0065
LSQ13dcy,0.0788,0.0041
2007sl,0.0948,0.0013
PTF10abxa,0.104,0.0012
PTF12gxk,0.1516,0.0025
2006ot,0.051,0.005
PTF10abpj,0.1472,0.0055
PTF11bgj,0.158,0.0031
LSQ12bvl,0.0634,0.0044
LSQ12bnt,0.1329,0.0052
MLS131126-024306+163425,0.073,0.0025
ASASSN-15tn,0.0302,0.0072
2005dm,0.0264,0.0084
1996C,0.029,0.003
1994S,0.0163,0.0023
LSQ14io,0.134,0.0033
OGLE16ahz,0.1113,0.0035
LSQ13bll,0.0728,0.0033
2006fb,0.2662,0.0014
2001ba,0.0306,0.0042
ASASSN-15uq,0.0208,0.0027
PTF10rks,0.0606,0.005
2006pn,0.1395,0.0047
iPTF14ibo,0.0831,0.001
PTF11gdh,0.1237,0.067
PTF10ygr,0.1231,0.006
PTF10ndo,0.0836,0.0066
ASASSN-15qy,0.0341,0.0055
2007mo,0.2269,0.0065
